smiles,martini_bead,dg_wo_aa,dg_wo_cg,apka,bpka,acidity,log_perm_coeff,n_atoms
CC,C5,-1.977,-1.656,NOT,NOT,N,0.269,2
CN,P2,1.455,0.92,NOT,10.08,B,-4.686,2
CO,P3,1.894,2.106,15.78,-2.46,A,-2.865,2
CF,Na,-0.549,-0.595,NOT,NOT,N,-1.005,2
FF,N0,-1.304,-1.009,NOT,NOT,N,-0.191,2
C=C,N0,-1.235,-1.009,NOT,NOT,N,-0.191,2
C=O,P2,0.947,0.92,NOT,-8.09,N,-2.012,2
O=O,P3,1.784,2.106,NOT,NOT,N,-2.865,2
C#C,P1,0.041,0.54,NOT,NOT,N,-1.574,2
CCC,C3,-3.006,-2.93,NOT,NOT,N,0.023,3
CCN,P1,0.275,0.54,NOT,10.23,B,-4.391,3
CCO,P1,0.549,0.54,16.47,-2.16,N,-1.574,3
CCF,C5,-1.386,-1.656,NOT,NOT,N,0.269,3
FCF,N0,-0.398,-1.009,NOT,NOT,N,-0.191,3
CNC,P1,0.727,0.54,NOT,10.52,B,-4.678,3
COC,P1,0.22,0.54,NOT,-4.08,N,-1.574,3
CC=C,C4,-2.306,-2.424,NOT,NOT,N,0.183,3
CC=O,Na,0.014,-0.595,16.73,-6.87,N,-1.005,3
CC#N,P1,0.055,0.54,NOT,NOT,N,-1.574,3
NC=N,P3,1.922,2.106,NOT,12.18,B,-7.411,3
NC=O,P3,2.1,2.106,16.67,-0.71,B,-2.865,3
OC=O,P1,0.59,0.54,4.27,NOT,A,-4.695,3
FC=C,C5,-1.4,-1.656,NOT,NOT,N,0.269,3
NN=C,P1,0.439,0.54,NOT,5.69,B,-1.574,3
ON=C,P1,0.426,0.54,10.94,3.14,A,-1.574,3
CC#C,N0,-1.263,-1.009,NOT,NOT,N,-0.191,3
C1CC1,SC5,-2.141,-1.656,NOT,NOT,N,0.269,3
C1CN1,SP2,1.469,0.92,NOT,8.04,B,-2.650,3
C1CO1,SP1,0.645,0.54,NOT,-4.15,N,-1.574,3
CC(C)C,C3,-2.965,-2.93,NOT,NOT,N,0.023,4
CC(C)N,Nd,0.069,-0.595,NOT,10.43,B,-3.985,4
CC(C)O,Nda,-0.055,-0.595,17.26,-1.81,B,-0.895,4
CC(C)F,C5,-1.469,-1.656,NOT,NOT,N,0.269,4
CC(F)F,N0,-1.084,-1.009,NOT,NOT,N,-0.191,4
FC(F)F,N0,-1.331,-1.009,NOT,NOT,N,-0.191,4
CN(C)C,P1,0.192,0.54,NOT,9.57,B,-3.735,4
CC(C)=C,C4,-2.567,-2.424,NOT,NOT,N,0.183,4
