bead,dg
C1_C1,-6.788
C1_C2,-6.678
C1_C3,-6.324
C1_C4,-5.817
C1_C5,-5.05
C1_N0,-4.402
C1_Na,-3.989
C1_Nd,-3.989
C1_Nda,-3.989
C1_P1,-2.854
C1_P2,-2.474
C1_P3,-1.288
C1_P4,-1.171
C1_P5,-1.272
C2_C2,-6.568
C2_C3,-6.214
C2_C4,-5.707
C2_C5,-4.94
C2_N0,-4.293
C2_Na,-3.879
C2_Nd,-3.879
C2_Nda,-3.879
C2_P1,-2.744
C2_P2,-2.364
C2_P3,-1.178
C2_P4,-1.061
C2_P5,-1.162
C3_C3,-5.86
C3_C4,-5.354
C3_C5,-4.587
C3_N0,-3.939
C3_Na,-3.525
C3_Nd,-3.525
C3_Nda,-3.525
C3_P1,-2.39
C3_P2,-2.01
C3_P3,-0.825
C3_P4,-0.707
C3_P5,-0.808
C4_C4,-4.847
C4_C5,-4.08
C4_N0,-3.432
C4_Na,-3.019
C4_Nd,-3.019
C4_Nda,-3.019
C4_P1,-1.883
C4_P2,-1.503
C4_P3,-0.318
C4_P4,-0.201
C4_P5,-0.301
C5_C5,-3.313
C5_N0,-2.665
C5_Na,-2.251
C5_Nd,-2.251
C5_Nda,-2.251
C5_P1,-1.116
C5_P2,-0.736
C5_P3,0.449
C5_P4,0.566
C5_P5,0.466
N0_N0,-2.017
N0_Na,-1.604
N0_Nd,-1.604
N0_Nda,-1.604
N0_P1,-0.468
N0_P2,-0.088
N0_P3,1.097
N0_P4,1.214
N0_P5,1.114
Na_Na,-1.19
Na_Nd,-1.19
Na_Nda,-1.19
Na_P1,-0.055
Na_P2,0.325
Na_P3,1.511
Na_P4,1.628
Na_P5,1.527
Nd_Nd,-1.19
Nd_Nda,-1.19
Nd_P1,-0.055
Nd_P2,0.325
Nd_P3,1.511
Nd_P4,1.628
Nd_P5,1.527
Nda_Nda,-1.19
Nda_P1,-0.055
Nda_P2,0.325
Nda_P3,1.511
Nda_P4,1.628
Nda_P5,1.527
P1_P1,1.08
P1_P2,1.46
P1_P3,2.646
P1_P4,2.763
P1_P5,2.663
P2_P2,1.84
P2_P3,3.026
P2_P4,3.143
P2_P5,3.043
P3_P3,4.211
P3_P4,4.328
P3_P5,4.228
P4_P4,4.446
P4_P5,4.345
P5_P5,4.446
